"day","hour","mean_beds_available","mean_beds_available_per_min"
"Sun",0,1.38157894736842,0.0230263157894737
"Sun",1,1.19736842105263,0.0199561403508772
"Sun",2,0.776315789473684,0.0129385964912281
"Sun",3,0.605263157894737,0.0100877192982456
"Sun",4,0.618421052631579,0.0103070175438597
"Sun",5,0.342105263157895,0.00570175438596491
"Sun",6,0.342105263157895,0.00570175438596491
"Sun",7,0.289473684210526,0.00482456140350877
"Sun",8,0.56578947368421,0.00942982456140351
"Sun",9,0.578947368421053,0.00964912280701754
"Sun",10,0.68421052631579,0.0114035087719298
"Sun",11,0.868421052631579,0.0144736842105263
"Sun",12,0.578947368421053,0.00964912280701754
"Sun",13,0.697368421052632,0.0116228070175439
"Sun",14,0.842105263157895,0.0140350877192982
"Sun",15,0.947368421052632,0.0157894736842105
"Sun",16,1.23684210526316,0.0206140350877193
"Sun",17,0.881578947368421,0.0146929824561403
"Sun",18,1,0.0166666666666667
"Sun",19,1.27631578947368,0.0212719298245614
"Sun",20,0.802631578947368,0.0133771929824561
"Sun",21,1.38157894736842,0.0230263157894737
"Sun",22,1.5921052631579,0.0265350877192982
"Sun",23,1.51315789473684,0.025219298245614
"Mon",0,1.23376623376623,0.0205627705627706
"Mon",1,0.909090909090909,0.0151515151515151
"Mon",2,0.649350649350649,0.0108225108225108
"Mon",3,0.675324675324675,0.0112554112554113
"Mon",4,0.454545454545455,0.00757575757575758
"Mon",5,0.350649350649351,0.00584415584415584
"Mon",6,0.337662337662338,0.00562770562770563
"Mon",7,0.142857142857143,0.00238095238095238
"Mon",8,0.519480519480519,0.00865800865800866
"Mon",9,0.662337662337662,0.011038961038961
"Mon",10,0.766233766233766,0.0127705627705628
"Mon",11,0.831168831168831,0.0138528138528139
"Mon",12,0.857142857142857,0.0142857142857143
"Mon",13,0.961038961038961,0.016017316017316
"Mon",14,1.27272727272727,0.0212121212121212
"Mon",15,1.49350649350649,0.0248917748917749
"Mon",16,1.15584415584416,0.0192640692640693
"Mon",17,1.49350649350649,0.0248917748917749
"Mon",18,1.58441558441558,0.0264069264069264
"Mon",19,1.44155844155844,0.024025974025974
"Mon",20,1.16883116883117,0.0194805194805195
"Mon",21,1.63636363636364,0.0272727272727273
"Mon",22,1.68831168831169,0.0281385281385281
"Mon",23,2.1038961038961,0.0350649350649351
"Tue",0,1.51948051948052,0.0253246753246753
"Tue",1,1.03896103896104,0.0173160173160173
"Tue",2,0.844155844155844,0.0140692640692641
"Tue",3,0.844155844155844,0.0140692640692641
"Tue",4,0.506493506493506,0.00844155844155844
"Tue",5,0.480519480519481,0.00800865800865801
"Tue",6,0.324675324675325,0.00541125541125541
"Tue",7,0.220779220779221,0.00367965367965368
"Tue",8,0.805194805194805,0.0134199134199134
"Tue",9,0.727272727272727,0.0121212121212121
"Tue",10,1.11688311688312,0.0186147186147186
"Tue",11,0.987012987012987,0.0164502164502165
"Tue",12,0.857142857142857,0.0142857142857143
"Tue",13,1.33766233766234,0.0222943722943723
"Tue",14,1.23376623376623,0.0205627705627706
"Tue",15,1.5974025974026,0.0266233766233766
"Tue",16,1.36363636363636,0.0227272727272727
"Tue",17,1.32467532467532,0.0220779220779221
"Tue",18,1.75324675324675,0.0292207792207792
"Tue",19,1.35064935064935,0.0225108225108225
"Tue",20,1.31168831168831,0.0218614718614719
"Tue",21,2.09090909090909,0.0348484848484848
"Tue",22,1.94805194805195,0.0324675324675325
"Tue",23,2.25974025974026,0.0376623376623377
"Wed",0,1.77922077922078,0.0296536796536797
"Wed",1,1.20779220779221,0.0201298701298701
"Wed",2,0.935064935064935,0.0155844155844156
"Wed",3,0.87012987012987,0.0145021645021645
"Wed",4,0.584415584415584,0.00974025974025974
"Wed",5,0.285714285714286,0.00476190476190476
"Wed",6,0.272727272727273,0.00454545454545455
"Wed",7,0.285714285714286,0.00476190476190476
"Wed",8,0.597402597402597,0.00995670995670996
"Wed",9,1.11688311688312,0.0186147186147186
"Wed",10,1.01298701298701,0.0168831168831169
"Wed",11,0.909090909090909,0.0151515151515152
"Wed",12,0.922077922077922,0.0153679653679654
"Wed",13,1.09090909090909,0.0181818181818182
"Wed",14,1.25974025974026,0.020995670995671
"Wed",15,1.28571428571429,0.0214285714285714
"Wed",16,1.48051948051948,0.0246753246753247
"Wed",17,1.4025974025974,0.0233766233766234
"Wed",18,1.4025974025974,0.0233766233766234
"Wed",19,1.50649350649351,0.0251082251082251
"Wed",20,1.27272727272727,0.0212121212121212
"Wed",21,1.66233766233766,0.0277056277056277
"Wed",22,1.79220779220779,0.0298701298701299
"Wed",23,2.09090909090909,0.0348484848484848
"Thu",0,1.89473684210526,0.0315789473684211
"Thu",1,1.51315789473684,0.025219298245614
"Thu",2,1.02631578947368,0.0171052631578947
"Thu",3,0.710526315789474,0.0118421052631579
"Thu",4,0.552631578947368,0.00921052631578947
"Thu",5,0.539473684210526,0.00899122807017544
"Thu",6,0.171052631578947,0.00285087719298246
"Thu",7,0.276315789473684,0.00460526315789474
"Thu",8,0.789473684210526,0.0131578947368421
"Thu",9,0.855263157894737,0.0142543859649123
"Thu",10,1.03947368421053,0.0173245614035088
"Thu",11,0.789473684210526,0.0131578947368421
"Thu",12,0.763157894736842,0.012719298245614
"Thu",13,1.13157894736842,0.018859649122807
"Thu",14,1.35526315789474,0.0225877192982456
"Thu",15,1.46052631578947,0.0243421052631579
"Thu",16,1.40789473684211,0.0234649122807018
"Thu",17,1.32894736842105,0.0221491228070175
"Thu",18,1.47368421052632,0.0245614035087719
"Thu",19,1.25,0.0208333333333333
"Thu",20,1.64473684210526,0.0274122807017544
"Thu",21,1.77631578947368,0.0296052631578947
"Thu",22,2.10526315789474,0.0350877192982456
"Thu",23,2.22368421052632,0.0370614035087719
"Fri",0,1.25,0.0208333333333333
"Fri",1,1.32894736842105,0.0221491228070175
"Fri",2,1.30263157894737,0.0217105263157895
"Fri",3,0.986842105263158,0.0164473684210526
"Fri",4,0.552631578947368,0.00921052631578947
"Fri",5,0.447368421052632,0.00745614035087719
"Fri",6,0.460526315789474,0.00767543859649123
"Fri",7,0.328947368421053,0.00548245614035088
"Fri",8,0.697368421052631,0.0116228070175439
"Fri",9,0.868421052631579,0.0144736842105263
"Fri",10,1.02631578947368,0.0171052631578947
"Fri",11,1.25,0.0208333333333333
"Fri",12,0.868421052631579,0.0144736842105263
"Fri",13,1.14473684210526,0.0190789473684211
"Fri",14,1.61842105263158,0.0269736842105263
"Fri",15,1.21052631578947,0.0201754385964912
"Fri",16,1.55263157894737,0.0258771929824561
"Fri",17,1.51315789473684,0.025219298245614
"Fri",18,1.80263157894737,0.0300438596491228
"Fri",19,1.11842105263158,0.018640350877193
"Fri",20,1.77631578947368,0.0296052631578947
"Fri",21,1.78947368421053,0.0298245614035088
"Fri",22,2.0921052631579,0.0348684210526316
"Fri",23,2.21052631578947,0.0368421052631579
"Sat",0,1.61038961038961,0.0268398268398268
"Sat",1,1.37662337662338,0.0229437229437229
"Sat",2,1.2987012987013,0.0216450216450216
"Sat",3,0.779220779220779,0.012987012987013
"Sat",4,0.753246753246753,0.0125541125541126
"Sat",5,0.649350649350649,0.0108225108225108
"Sat",6,0.558441558441558,0.00930735930735931
"Sat",7,0.337662337662338,0.00562770562770563
"Sat",8,0.623376623376623,0.0103896103896104
"Sat",9,0.961038961038961,0.016017316017316
"Sat",10,0.818181818181818,0.0136363636363636
"Sat",11,0.831168831168831,0.0138528138528138
"Sat",12,1.01298701298701,0.0168831168831169
"Sat",13,0.87012987012987,0.0145021645021645
"Sat",14,0.896103896103896,0.0149350649350649
"Sat",15,1.16883116883117,0.0194805194805195
"Sat",16,1.22077922077922,0.0203463203463203
"Sat",17,1.28571428571429,0.0214285714285714
"Sat",18,1.2987012987013,0.0216450216450216
"Sat",19,0.948051948051948,0.0158008658008658
"Sat",20,1.22077922077922,0.0203463203463203
"Sat",21,1.87012987012987,0.0311688311688312
"Sat",22,1.61038961038961,0.0268398268398268
"Sat",23,1.55844155844156,0.025974025974026
