"","day","hour","is_booked_prob"
"1","Sun",0,0.105633802816901
"2","Sun",1,0.10597302504817
"3","Sun",2,0.12
"4","Sun",3,0.0953757225433526
"5","Sun",4,0.119402985074627
"6","Sun",5,0.100890207715134
"7","Sun",6,0.0974842767295598
"8","Sun",7,0.0914512922465209
"9","Sun",8,0.0963983050847458
"10","Sun",9,0.113160100586756
"11","Sun",10,0.0939897698209719
"12","Sun",11,0.11145703611457
"13","Sun",12,0.108091024020228
"14","Sun",13,0.113168724279835
"15","Sun",14,0.101902173913043
"16","Sun",15,0.108769544527532
"17","Sun",16,0.122794636556104
"18","Sun",17,0.108303249097473
"19","Sun",18,0.12755905511811
"20","Sun",19,0.111899133175729
"21","Sun",20,0.126409017713366
"22","Sun",21,0.149514563106796
"23","Sun",22,0.153061224489796
"24","Sun",23,0.128508124076809
"25","Mon",0,0.127659574468085
"26","Mon",1,0.152224824355972
"27","Mon",2,0.0977653631284916
"28","Mon",3,0.14
"29","Mon",4,0.0780669144981413
"30","Mon",5,0.0993150684931507
"31","Mon",6,0.0744336569579288
"32","Mon",7,0.063943161634103
"33","Mon",8,0.0708245243128964
"34","Mon",9,0.0931198102016607
"35","Mon",10,0.135883241066935
"36","Mon",11,0.183165949306552
"37","Mon",12,0.202005730659026
"38","Mon",13,0.167536534446764
"39","Mon",14,0.141535111594992
"40","Mon",15,0.176897321428571
"41","Mon",16,0.182058047493404
"42","Mon",17,0.15919395465995
"43","Mon",18,0.186540731995277
"44","Mon",19,0.158212560386473
"45","Mon",20,0.178184281842818
"46","Mon",21,0.16295025728988
"47","Mon",22,0.173228346456693
"48","Mon",23,0.151745068285281
"49","Tue",0,0.14591439688716
"50","Tue",1,0.120454545454545
"51","Tue",2,0.110481586402266
"52","Tue",3,0.138686131386861
"53","Tue",4,0.136
"54","Tue",5,0.105084745762712
"55","Tue",6,0.0930930930930931
"56","Tue",7,0.0942622950819672
"57","Tue",8,0.0919037199124726
"58","Tue",9,0.114657980456026
"59","Tue",10,0.161692892023874
"60","Tue",11,0.196754563894523
"61","Tue",12,0.208167330677291
"62","Tue",13,0.164170506912442
"63","Tue",14,0.143200962695548
"64","Tue",15,0.178258328462887
"65","Tue",16,0.184471687098657
"66","Tue",17,0.184195882025598
"67","Tue",18,0.171760391198044
"68","Tue",19,0.133079847908745
"69","Tue",20,0.191432396251673
"70","Tue",21,0.192307692307692
"71","Tue",22,0.162424242424242
"72","Tue",23,0.15780998389694
"73","Wed",0,0.099009900990099
"74","Wed",1,0.112107623318386
"75","Wed",2,0.131964809384164
"76","Wed",3,0.106761565836299
"77","Wed",4,0.11328125
"78","Wed",5,0.111111111111111
"79","Wed",6,0.096551724137931
"80","Wed",7,0.0911062906724512
"81","Wed",8,0.0916380297823597
"82","Wed",9,0.109543010752688
"83","Wed",10,0.161525518788559
"84","Wed",11,0.195837780149413
"85","Wed",12,0.215727948990436
"86","Wed",13,0.165680473372781
"87","Wed",14,0.149026763990268
"88","Wed",15,0.18232044198895
"89","Wed",16,0.170560747663551
"90","Wed",17,0.178983833718245
"91","Wed",18,0.165067178502879
"92","Wed",19,0.148432501599488
"93","Wed",20,0.143682310469314
"94","Wed",21,0.161439114391144
"95","Wed",22,0.150717703349282
"96","Wed",23,0.149922720247295
"97","Thu",0,0.12396694214876
"98","Thu",1,0.142857142857143
"99","Thu",2,0.127450980392157
"100","Thu",3,0.0796812749003984
"101","Thu",4,0.0852713178294574
"102","Thu",5,0.0938628158844765
"103","Thu",6,0.120805369127517
"104","Thu",7,0.118534482758621
"105","Thu",8,0.0892857142857143
"106","Thu",9,0.117069980379333
"107","Thu",10,0.155034324942792
"108","Thu",11,0.194013896312133
"109","Thu",12,0.214898177920686
"110","Thu",13,0.164117647058824
"111","Thu",14,0.168236032642812
"112","Thu",15,0.169184290030211
"113","Thu",16,0.166861143523921
"114","Thu",17,0.176181706568447
"115","Thu",18,0.182686187141948
"116","Thu",19,0.136658031088083
"117","Thu",20,0.174382716049383
"118","Thu",21,0.150997150997151
"119","Thu",22,0.165847665847666
"120","Thu",23,0.171334431630972
"121","Fri",0,0.121621621621622
"122","Fri",1,0.110859728506787
"123","Fri",2,0.11144578313253
"124","Fri",3,0.0993377483443709
"125","Fri",4,0.0678571428571429
"126","Fri",5,0.0880281690140845
"127","Fri",6,0.11913357400722
"128","Fri",7,0.0799180327868853
"129","Fri",8,0.0939597315436242
"130","Fri",9,0.117006802721088
"131","Fri",10,0.146022727272727
"132","Fri",11,0.188772702256467
"133","Fri",12,0.185968819599109
"134","Fri",13,0.16715715126545
"135","Fri",14,0.165408805031447
"136","Fri",15,0.173382173382173
"137","Fri",16,0.168681635002879
"138","Fri",17,0.14868804664723
"139","Fri",18,0.161744966442953
"140","Fri",19,0.147540983606557
"141","Fri",20,0.166793025018954
"142","Fri",21,0.154968094804011
"143","Fri",22,0.154761904761905
"144","Fri",23,0.156976744186047
"145","Sat",0,0.137809187279152
"146","Sat",1,0.116731517509728
"147","Sat",2,0.110539845758355
"148","Sat",3,0.110410094637224
"149","Sat",4,0.122923588039867
"150","Sat",5,0.116071428571429
"151","Sat",6,0.120567375886525
"152","Sat",7,0.0823045267489712
"153","Sat",8,0.114583333333333
"154","Sat",9,0.115066225165563
"155","Sat",10,0.139019476158496
"156","Sat",11,0.124822695035461
"157","Sat",12,0.108834827144686
"158","Sat",13,0.136482939632546
"159","Sat",14,0.114809782608696
"160","Sat",15,0.109830508474576
"161","Sat",16,0.10709219858156
"162","Sat",17,0.135135135135135
"163","Sat",18,0.118096856414613
"164","Sat",19,0.134868421052632
"165","Sat",20,0.139865996649916
"166","Sat",21,0.151946818613485
"167","Sat",22,0.142064372918979
"168","Sat",23,0.147016011644833
