day,hour,mean_sdec_slots_available_per_min
Sun,0,0.0
Sun,1,0.0
Sun,2,0.0
Sun,3,0.0
Sun,4,0.0
Sun,5,0.0
Sun,6,0.0
Sun,7,0.0186666666666667
Sun,8,0.019
Sun,9,0.0195
Sun,10,0.0221666666666667
Sun,11,0.0236666666666667
Sun,12,0.0203333333333333
Sun,13,0.0218333333333333
Sun,14,0.0221666666666667
Sun,15,0.019
Sun,16,0.0166666666666667
Sun,17,0.0166666666666667
Sun,18,0.0
Sun,19,0.0
Sun,20,0.0
Sun,21,0.0
Sun,22,0.0
Sun,23,0.0
Mon,0,0.0
Mon,1,0.0
Mon,2,0.0
Mon,3,0.0
Mon,4,0.0
Mon,5,0.0
Mon,6,0.0
Mon,7,0.0208333333333333
Mon,8,0.0256666666666667
Mon,9,0.033
Mon,10,0.038
Mon,11,0.04
Mon,12,0.0293333333333333
Mon,13,0.028
Mon,14,0.0238333333333333
Mon,15,0.0208333333333333
Mon,16,0.0208333333333333
Mon,17,0.0
Mon,18,0.0
Mon,19,0.0
Mon,20,0.0
Mon,21,0.0
Mon,22,0.0
Mon,23,0.0
Tue,0,0.0
Tue,1,0.0
Tue,2,0.0
Tue,3,0.0
Tue,4,0.0
Tue,5,0.0
Tue,6,0.0
Tue,7,0.0213333333333333
Tue,8,0.0
Tue,9,0.0
Tue,10,0.0
Tue,11,0.0
Tue,12,0.0
Tue,13,0.0
Tue,14,0.0
Tue,15,0.0
Tue,16,0.0
Tue,17,0.0
Tue,18,0.0
Tue,19,0.0
Tue,20,0.0
Tue,21,0.0
Tue,22,0.0
Tue,23,0.0
Wed,0,0.0
Wed,1,0.0
Wed,2,0.0
Wed,3,0.0
Wed,4,0.0
Wed,5,0.0
Wed,6,0.0
Wed,7,0.0
Wed,8,0.0
Wed,9,0.0
Wed,10,0.0
Wed,11,0.0
Wed,12,0.0
Wed,13,0.0
Wed,14,0.0
Wed,15,0.0
Wed,16,0.0
Wed,17,0.0
Wed,18,0.0
Wed,19,0.0
Wed,20,0.0
Wed,21,0.0
Wed,22,0.0
Wed,23,0.0
Thu,0,0.0
Thu,1,0.0
Thu,2,0.0
Thu,3,0.0
Thu,4,0.0
Thu,5,0.0
Thu,6,0.0
Thu,7,0.0
Thu,8,0.0
Thu,9,0.0
Thu,10,0.0
Thu,11,0.0
Thu,12,0.0
Thu,13,0.0
Thu,14,0.0
Thu,15,0.0
Thu,16,0.0
Thu,17,0.0
Thu,18,0.0
Thu,19,0.0
Thu,20,0.0
Thu,21,0.0
Thu,22,0.0
Thu,23,0.0
Fri,0,0.0
Fri,1,0.0
Fri,2,0.0
Fri,3,0.0
Fri,4,0.0
Fri,5,0.0
Fri,6,0.0
Fri,7,0.0
Fri,8,0.0
Fri,9,0.0
Fri,10,0.0
Fri,11,0.0
Fri,12,0.0
Fri,13,0.0
Fri,14,0.0
Fri,15,0.0
Fri,16,0.0
Fri,17,0.0
Fri,18,0.0
Fri,19,0.0
Fri,20,0.0
Fri,21,0.0
Fri,22,0.0
Fri,23,0.0
Sat,0,0.0
Sat,1,0.0
Sat,2,0.0
Sat,3,0.0
Sat,4,0.0
Sat,5,0.0
Sat,6,0.0
Sat,7,0.0
Sat,8,0.0
Sat,9,0.0
Sat,10,0.0
Sat,11,0.0
Sat,12,0.0
Sat,13,0.0
Sat,14,0.0
Sat,15,0.0
Sat,16,0.0
Sat,17,0.0
Sat,18,0.0
Sat,19,0.0
Sat,20,0.0
Sat,21,0.0
Sat,22,0.0
Sat,23,0.0
