Simulation Time,Hour of Day,Queue Length,Run Number
0,0,0,1.0
60,1,0,1.0
120,2,0,1.0
180,3,0,1.0
240,4,0,1.0
300,5,0,1.0
360,6,0,1.0
420,7,0,1.0
480,8,0,1.0
540,9,0,1.0
600,10,0,1.0
660,11,0,1.0
720,12,0,1.0
780,13,0,1.0
840,14,0,1.0
900,15,1,1.0
960,16,0,1.0
1020,17,0,1.0
1080,18,2,1.0
1140,19,0,1.0
1200,20,1,1.0
1260,21,3,1.0
1320,22,4,1.0
1380,23,4,1.0
1440,0,5,1.0
1500,1,4,1.0
1560,2,5,1.0
1620,3,8,1.0
1680,4,9,1.0
1740,5,12,1.0
1800,6,11,1.0
1860,7,12,1.0
1920,8,12,1.0
1980,9,11,1.0
2040,10,10,1.0
2100,11,8,1.0
2160,12,10,1.0
2220,13,9,1.0
2280,14,12,1.0
2340,15,12,1.0
2400,16,13,1.0
2460,17,11,1.0
2520,18,12,1.0
2580,19,15,1.0
2640,20,15,1.0
2700,21,19,1.0
2760,22,20,1.0
2820,23,19,1.0
0,0,0,2.0
60,1,0,2.0
120,2,0,2.0
180,3,0,2.0
240,4,0,2.0
300,5,0,2.0
360,6,0,2.0
420,7,0,2.0
480,8,0,2.0
540,9,0,2.0
600,10,0,2.0
660,11,0,2.0
720,12,0,2.0
780,13,0,2.0
840,14,0,2.0
900,15,0,2.0
960,16,0,2.0
1020,17,1,2.0
1080,18,5,2.0
1140,19,7,2.0
1200,20,8,2.0
1260,21,12,2.0
1320,22,12,2.0
1380,23,13,2.0
1440,0,17,2.0
1500,1,17,2.0
1560,2,18,2.0
1620,3,18,2.0
1680,4,18,2.0
1740,5,19,2.0
1800,6,23,2.0
1860,7,22,2.0
1920,8,21,2.0
1980,9,19,2.0
2040,10,17,2.0
2100,11,14,2.0
2160,12,15,2.0
2220,13,14,2.0
2280,14,16,2.0
2340,15,17,2.0
2400,16,18,2.0
2460,17,17,2.0
2520,18,15,2.0
2580,19,15,2.0
2640,20,13,2.0
2700,21,23,2.0
2760,22,22,2.0
2820,23,21,2.0
0,0,0,3.0
60,1,0,3.0
120,2,0,3.0
180,3,0,3.0
240,4,0,3.0
300,5,0,3.0
360,6,0,3.0
420,7,0,3.0
480,8,0,3.0
540,9,0,3.0
600,10,0,3.0
660,11,0,3.0
720,12,0,3.0
780,13,0,3.0
840,14,0,3.0
900,15,1,3.0
960,16,2,3.0
1020,17,2,3.0
1080,18,2,3.0
1140,19,6,3.0
1200,20,6,3.0
1260,21,8,3.0
1320,22,11,3.0
1380,23,8,3.0
1440,0,8,3.0
1500,1,10,3.0
1560,2,13,3.0
1620,3,17,3.0
1680,4,22,3.0
1740,5,24,3.0
1800,6,25,3.0
1860,7,25,3.0
1920,8,23,3.0
1980,9,23,3.0
2040,10,22,3.0
2100,11,20,3.0
2160,12,21,3.0
2220,13,20,3.0
2280,14,18,3.0
2340,15,17,3.0
2400,16,17,3.0
2460,17,17,3.0
2520,18,19,3.0
2580,19,19,3.0
2640,20,19,3.0
2700,21,23,3.0
2760,22,25,3.0
2820,23,26,3.0
0,0,0,4.0
60,1,0,4.0
120,2,0,4.0
180,3,0,4.0
240,4,0,4.0
300,5,0,4.0
360,6,0,4.0
420,7,0,4.0
480,8,0,4.0
540,9,0,4.0
600,10,0,4.0
660,11,0,4.0
720,12,0,4.0
780,13,0,4.0
840,14,0,4.0
900,15,0,4.0
960,16,0,4.0
1020,17,0,4.0
1080,18,0,4.0
1140,19,1,4.0
1200,20,1,4.0
1260,21,3,4.0
1320,22,5,4.0
1380,23,6,4.0
1440,0,8,4.0
1500,1,10,4.0
1560,2,10,4.0
1620,3,12,4.0
1680,4,12,4.0
1740,5,13,4.0
1800,6,15,4.0
1860,7,16,4.0
1920,8,18,4.0
1980,9,18,4.0
2040,10,16,4.0
2100,11,17,4.0
2160,12,18,4.0
2220,13,17,4.0
2280,14,18,4.0
2340,15,20,4.0
2400,16,22,4.0
2460,17,21,4.0
2520,18,26,4.0
2580,19,30,4.0
2640,20,30,4.0
2700,21,33,4.0
2760,22,33,4.0
2820,23,33,4.0
0,0,0,5.0
60,1,0,5.0
120,2,0,5.0
180,3,0,5.0
240,4,0,5.0
300,5,0,5.0
360,6,0,5.0
420,7,0,5.0
480,8,0,5.0
540,9,0,5.0
600,10,0,5.0
660,11,0,5.0
720,12,0,5.0
780,13,0,5.0
840,14,0,5.0
900,15,0,5.0
960,16,0,5.0
1020,17,0,5.0
1080,18,0,5.0
1140,19,0,5.0
1200,20,0,5.0
1260,21,0,5.0
1320,22,4,5.0
1380,23,2,5.0
1440,0,5,5.0
1500,1,6,5.0
1560,2,4,5.0
1620,3,4,5.0
1680,4,6,5.0
1740,5,6,5.0
1800,6,8,5.0
1860,7,13,5.0
1920,8,13,5.0
1980,9,13,5.0
2040,10,13,5.0
2100,11,11,5.0
2160,12,12,5.0
2220,13,12,5.0
2280,14,12,5.0
2340,15,13,5.0
2400,16,14,5.0
2460,17,14,5.0
2520,18,14,5.0
2580,19,18,5.0
2640,20,17,5.0
2700,21,18,5.0
2760,22,19,5.0
2820,23,19,5.0
